arm,role,update,length,words,prefix_exact_count,state_correct_count,token_correct_count,token_denominator,E,E_low95,E_high95,A,A_low95,A_high95,M,state_ce
seq,ood_dev,50000,19,102400,0,1655,700946,1945600,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016162109375,0.015407720082225901,0.016952798933589322,0.3602724095394737,4.095939869775902
seq,ood_dev,50000,20,102400,0,1677,702623,2048000,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016376953125,0.015617525892619095,0.017172664504398104,0.34307763671875,4.096139812620822
seq,ood_dev,50000,21,102400,0,1715,704338,2150400,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016748046875,0.015979998727640964,0.017552351327816018,0.3275381324404762,4.095638978418428
seq,ood_dev,50000,22,102400,0,1649,705987,2252800,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016103515625,0.015350506399222991,0.016892829512628053,0.31338201349431816,4.095983325478155
seq,ood_dev,50000,23,102400,0,1697,707684,2355200,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016572265625,0.01580828843853085,0.0173725123050336,0.3004772418478261,4.09614744864637
seq,ood_dev,50000,24,102400,0,1767,709451,2457600,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.017255859375,0.01647617513653759,0.01807176181994226,0.2886763509114583,4.095606930085924
seq,ood_dev,50000,25,102400,0,1715,711166,2560000,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016748046875,0.015979998727640964,0.017552351327816018,0.27779921875,4.095673994026146
seq,ood_dev,50000,26,102400,0,1679,712845,2662400,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016396484375,0.01563660087091516,0.017192650560756764,0.2677452674278846,4.095869730724953
seq,ood_dev,50000,27,102400,0,1718,714563,2764800,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.01677734375,0.016008619293442074,0.017582322313996996,0.25845015914351854,4.095849001945462
seq,ood_dev,50000,28,102400,0,1654,716217,2867200,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.01615234375,0.015398184286100883,0.01694280421238697,0.24979666573660714,4.095651994724758
seq,ood_dev,50000,29,102400,0,1765,717982,2969600,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.017236328125,0.01645708807444747,0.01805178784737764,0.24177734375,4.095759297560435
seq,ood_dev,50000,30,102400,0,1736,719718,3072000,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016953125,0.01618035564849098,0.017762135270840616,0.234283203125,4.095712942036334
seq,ood_dev,50000,31,102400,0,1725,721443,3174400,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016845703125,0.016075403021209946,0.01765225220752066,0.2272690902217742,4.096120377625339
seq,ood_dev,50000,32,102400,0,1741,723184,3276800,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.017001953125,0.016228064105455898,0.017812079400512517,0.2206982421875,4.0959794224333015
seq,ood_dev,50000,33,102400,0,1730,724914,3379200,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.01689453125,0.016123107738719566,0.01770220007664786,0.2145223721590909,4.0957540216087365
seq,ood_dev,50000,34,102400,0,1724,726638,3481600,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.0168359375,0.01606586228283863,0.01764226242856461,0.20870806525735294,4.095785079326015
seq,ood_dev,50000,35,102400,0,1725,728363,3584000,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016845703125,0.016075403021209946,0.01765225220752066,0.20322628348214286,4.096048877632711
