role,update,length,words,prefix_exact_count,state_correct_count,token_correct_count,token_denominator,E,E_low95,E_high95,A,A_low95,A_high95,M,state_ce
ood_dev,5000,1,102400,102400,102400,102400,102400,1.0,0.9999624871609701,1.0,1.0,0.9999624871609701,1.0,1.0,0.000313296947644659
ood_dev,5000,2,102400,102400,102400,204800,204800,1.0,0.9999624871609701,1.0,1.0,0.9999624871609701,1.0,1.0,0.0007561791452512523
ood_dev,5000,3,102400,102400,102400,307200,307200,1.0,0.9999624871609701,1.0,1.0,0.9999624871609701,1.0,1.0,0.0008249676231498882
ood_dev,5000,4,102400,102400,102400,409600,409600,1.0,0.9999624871609701,1.0,1.0,0.9999624871609701,1.0,1.0,0.0009558579740848039
ood_dev,5000,5,102400,102400,102400,512000,512000,1.0,0.9999624871609701,1.0,1.0,0.9999624871609701,1.0,1.0,0.0012981786517457206
ood_dev,5000,6,102400,102395,102395,614395,614400,0.999951171875,0.9998856912053655,0.9999791433689678,0.999951171875,0.9998856912053655,0.9999791433689678,0.9999918619791667,0.00197698125445406
ood_dev,5000,7,102400,102376,102378,716773,716800,0.999765625,0.9996512662615883,0.999842488483525,0.99978515625,0.9996747063713258,0.9998581094084422,0.9999623325892857,0.0030821311564081188
ood_dev,5000,8,102400,102331,102341,819114,819200,0.999326171875,0.9991474062701934,0.9994674751951885,0.999423828125,0.9992569299552471,0.9995532566834086,0.99989501953125,0.004814765097401113
ood_dev,5000,9,102400,102216,102255,921369,921600,0.998203125,0.997924370529382,0.9984445014433533,0.998583984375,0.9983342110358201,0.9987963511126822,0.9997493489583333,0.007723514074321543
ood_dev,5000,10,102400,101999,102072,1023441,1024000,0.996083984375,0.9956823971652414,0.9964483525474562,0.996796875,0.9964316543469756,0.9971248231306196,0.9994541015625,0.013457566629171955
ood_dev,5000,11,102400,101533,101685,1125126,1126400,0.991533203125,0.9909532802070109,0.9920762484311358,0.993017578125,0.9924887468795529,0.9935094203923529,0.9988689630681818,0.023142786236791456
ood_dev,5000,12,102400,100609,100915,1226041,1228800,0.982509765625,0.981688570998567,0.9832947596290966,0.985498046875,0.9847474056794521,0.9862122632503842,0.9977547200520833,0.0444195263864532
ood_dev,5000,13,102400,92240,92855,1318896,1331200,0.90078125,0.898935119403059,0.9025973117119059,0.906787109375,0.9049911258064888,0.9085525734648042,0.9907572115384615,0.2903336862445115
ood_dev,5000,14,102400,42437,44497,1363393,1433600,0.414423828125,0.4114098371445662,0.41744423951575454,0.434541015625,0.43150744123271,0.43757950112197785,0.9510274832589286,2.5016642527235473
ood_dev,5000,15,102400,7409,11318,1374711,1536000,0.072353515625,0.07078271752191012,0.07395639819555005,0.11052734375,0.10862150088960075,0.1124624070605202,0.894994140625,5.650420159667033
ood_dev,5000,16,102400,678,3387,1378098,1638400,0.00662109375,0.006142536354359006,0.0071366672326228595,0.033076171875,0.03199822066334979,0.03418915436345762,0.841124267578125,7.786567760232994
ood_dev,5000,17,102400,44,1906,1380004,1740800,0.0004296875,0.00032011930198977835,0.0005767362994441386,0.01861328125,0.017803349916126407,0.019459328948856845,0.7927412683823529,8.72110706531068
ood_dev,5000,18,102400,2,1800,1381804,1843200,1.953125e-05,5.356189565375578e-06,7.121768411930826e-05,0.017578125,0.016791149492307516,0.018401294535975294,0.7496766493055556,9.182559802479227
ood_dev,5000,19,102400,0,1702,1383506,1945600,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.01662109375,0.015855983477047735,0.017422469853153533,0.7110947779605263,9.658091996264593
ood_dev,5000,20,102400,0,1718,1385224,2048000,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.01677734375,0.016008619293442074,0.017582322313996996,0.67637890625,10.1680892631381
ood_dev,5000,21,102400,0,1686,1386910,2150400,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.01646484375,0.015703365535630627,0.017262599517332833,0.6449544270833333,10.767138988705847
ood_dev,5000,22,102400,0,1660,1388570,2252800,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.0162109375,0.015455400153029908,0.017002771449422124,0.6163751775568181,11.479015440456788
ood_dev,5000,23,102400,0,1690,1390260,2355200,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.01650390625,0.015741518331602318,0.017302568790670596,0.5902938179347826,12.436637460330093
