first_update,update,updates_in_bin,training_seconds,loss,token_accuracy,whole_word_exact,grad_norm
61301,61400,100,3365.2629197799815,0.0011488664155331208,0.9998535263538361,0.99931640625,0.2678105980728287
61401,61500,100,3370.739604340988,0.0012700527339075051,0.9998160898685455,0.999228515625,0.2594420532390359
61501,61600,100,3376.253441579993,0.001334978634035906,0.9998112082481384,0.9991796875,0.22859065993194236
61601,61700,100,3381.797713180995,0.0009888043896353338,0.9998575949668884,0.99939453125,0.17917713214817924
61701,61800,100,3387.3244711569914,0.00283323814826872,0.9996736758947372,0.998994140625,0.398619990037987
61801,61900,100,3392.870526259985,0.0009720109411682642,0.9998641014099121,0.999443359375,0.19923066354356705
61901,62000,100,3398.4437529579845,0.0013350376762355154,0.9998112070560455,0.999287109375,0.26476602440234276
62001,62100,100,3404.0132870909747,0.0012756154342969239,0.9998169034719467,0.999345703125,0.41199985359562563
62101,62200,100,3409.5793490089745,0.0009448603816417744,0.9998527103662491,0.999326171875,0.20688049063901418
62201,62300,100,3415.1214576849634,0.0012019395576226089,0.9998112058639527,0.999267578125,0.20020038264832693
62301,62400,100,3420.6562039439614,0.0009556509565663874,0.999847828745842,0.99935546875,0.24532698595663532
62401,62500,100,3426.2021969069574,0.0009590411881799809,0.999852711558342,0.999365234375,0.21454503017419482
62501,62600,100,3431.7525140049584,0.0009956720034824684,0.9998470139503479,0.9993359375,0.2653965595259797
62601,62700,100,3437.294931257966,0.00036695679562399164,0.9999373412132263,0.999697265625,0.07069561745331157
62701,62800,100,3442.846844158965,0.0008373693702742458,0.9998754960298538,0.999423828125,0.11941907242144226
62801,62900,100,3448.434310192979,0.000957666933618384,0.9998478281497956,0.99935546875,0.30852645074541213
62901,63000,100,3454.009163730976,0.001118122688094445,0.9998543375730514,0.999482421875,0.21044553594081664
63001,63100,100,3459.526693976977,0.000894856564609654,0.9998632907867432,0.99943359375,0.14292129869572817
63101,63200,100,3465.054246380987,0.0010213801619283914,0.9998274838924408,0.999306640625,0.2603185196960112
63201,63300,100,3470.606188201986,0.0010440279044632917,0.9998510825634003,0.99947265625,0.17866420051839668
63301,63400,100,3476.141685442988,0.0010867486166171148,0.9998226010799408,0.999228515625,0.23388029381632805
63401,63500,100,3481.65762180998,0.00033552957486790544,0.9999340885877609,0.999638671875,0.06986278993426823
63501,63600,100,3487.172545709969,0.0009109466789504949,0.9998510813713074,0.9993359375,0.17211279737879523
63601,63700,100,3492.711671279956,0.0010816259002422157,0.9998226022720337,0.999228515625,0.24415222163079306
63701,63800,100,3498.2448230589544,0.0001778304704794209,0.9999674499034882,0.999814453125,0.031867518295912306
63801,63900,100,3503.766466090956,4.245973468641751e-06,1.0,1.0,0.001139470665511908
63901,64000,100,3509.2851349479497,5.8830796916709e-07,1.0,1.0,1.2747090704579022e-05
64001,64100,100,3514.8428239029545,1.52286742647334e-07,1.0,1.0,2.8792153921131105e-06
64101,64200,100,3520.405452277955,7.555963698280265e-08,1.0,1.0,6.492454372164502e-07
64201,64300,100,3525.9930237839453,8.87371640345691e-08,1.0,1.0,7.052719200828506e-07
64301,64400,100,3531.5683907719686,9.339309755773684e-08,1.0,1.0,1.2216602908665664e-06
64401,64500,100,3537.151922383966,8.679414506218564e-08,1.0,1.0,1.555694653916362e-06
64501,64600,100,3542.737562223969,8.238445268204941e-08,1.0,1.0,1.0631395616655937e-06
64601,64700,100,3548.3138332359795,7.884302647198637e-08,1.0,1.0,7.141754190342908e-07
64701,64800,100,3553.8744909959823,7.798279860082858e-08,1.0,1.0,8.217985762826174e-07
64801,64900,100,3559.450040401978,7.698115311427501e-08,1.0,1.0,6.358049068921901e-07
64901,65000,100,3565.0210059719884,7.668731264232065e-08,1.0,1.0,6.897752669487999e-07
65001,65100,100,3570.569544372982,7.61921583602998e-08,1.0,1.0,6.867384209385818e-07
65101,65200,100,3576.114599555978,7.571408538353808e-08,1.0,1.0,6.071321720924061e-07
65201,65300,100,3581.6884906139767,7.559689159108985e-08,1.0,1.0,6.663652615657156e-07
65301,65400,100,3587.237192255974,7.528034167592069e-08,1.0,1.0,6.197456349354979e-07
65401,65500,100,3592.7890556579823,7.944259653669406e-08,1.0,1.0,2.789281675177335e-06
65501,65600,100,3598.3554091979768,7.351936801569536e-08,1.0,1.0,5.486270842425256e-07
65601,65700,100,3603.9294880019697,7.472950237286114e-08,1.0,1.0,8.386698934259584e-07
65701,65800,100,3609.4947826189764,7.461075909986903e-08,1.0,1.0,7.19141609692997e-07
65801,65900,100,3615.0678246879634,7.467401388794315e-08,1.0,1.0,7.161768900232346e-07
65901,66000,100,3620.6198396699656,7.440616229814623e-08,1.0,1.0,6.591018370727398e-07
66001,66100,100,3626.203288512972,7.447028679052891e-08,1.0,1.0,7.683468726327192e-07
66101,66200,100,3631.764467317975,7.433805862433474e-08,1.0,1.0,8.349763317028192e-07
66201,66300,100,3637.35928803999,7.422940448975623e-08,1.0,1.0,7.956236009931672e-07
66301,66400,100,3642.9448486739984,7.453828999359758e-08,1.0,1.0,1.3063176436389767e-06
66401,66500,100,3648.559806510015,7.373590207748748e-08,1.0,1.0,8.170412866093102e-07
66501,66600,100,3654.1690651060308,7.398842633676849e-08,1.0,1.0,8.182540290135875e-07
66601,66700,100,3659.7275554480348,7.43251528234623e-08,1.0,1.0,1.216895448123978e-06
66701,66800,100,3665.3415105980403,7.342303582902332e-08,1.0,1.0,8.881505578983706e-07
66801,66900,100,3670.922402897055,7.379595267309468e-08,1.0,1.0,1.0600641235214426e-06
66901,67000,100,3676.5161621630614,7.388695038912374e-08,1.0,1.0,1.196558220613042e-06
67001,67100,100,3682.1022631570486,7.360997869909624e-08,1.0,1.0,1.2474636707793252e-06
67101,67200,100,3687.7024275530457,7.364451604985334e-08,1.0,1.0,1.041639292225227e-06
