arm,first_update,latent_cosine,latent_loss,latent_relative_l2,latent_rms,latent_variation_rms,loss,predicted_latent_rms,predicted_state_ce,state_ce,teacher_predicted_kl,token_accuracy,training_seconds,update,updates_in_bin,weighted_latent_loss
head,16801,0.9977244883775711,0.0020603544381447136,0.06802764162421227,0.9118914604187012,0.837676465511322,0.0034343000315129758,0.9101460725069046,0.0008337251401826506,0.0013739455975883175,0.001153252727817744,0.999550798535347,2391.1045410700435,16900,100,0.0020603544381447136
head,16901,0.9975463002920151,0.002226768872933462,0.07066715136170387,0.9119038730859756,0.8374316990375519,0.003806909683626145,0.909778505563736,0.0003428673298913054,0.001580140805017436,0.0007593488553538918,0.9994710469245911,2405.2827486780398,17000,100,0.002226768872933462
head,17001,0.997485414147377,0.002029494713060558,0.07150290161371231,0.9119433909654617,0.8371162861585617,0.003315166508546099,0.9098335951566696,0.00048807135317474604,0.0012856718004331923,0.0015179502006503753,0.9995890486240387,2419.5051680200295,17100,100,0.002029494713060558
head,17101,0.9976267069578171,0.002113279536133632,0.06952501647174358,0.9120247215032578,0.8377247750759125,0.003445459018694237,0.9097683876752853,0.0004636480734916404,0.001332179476157762,0.0010576301865512505,0.9995597517490387,2433.7961911930242,17200,100,0.002113279536133632
head,17201,0.9976916611194611,0.001927419068524614,0.0684461584314704,0.9120694994926453,0.8375928401947021,0.003047238594153896,0.9105204194784164,0.0004462583292479394,0.0011198195383985876,0.0010833088745130226,0.9996256667375565,2448.0950758090394,17300,100,0.001927419068524614
head,17301,0.9976821094751358,0.0019634538469836117,0.06874825805425644,0.9121266007423401,0.8378224819898605,0.003046600458910689,0.9102322310209274,0.0007592397378175519,0.0010831466224590258,0.0012503810648922808,0.9996362501382827,2462.343965925046,17400,100,0.0019634538469836117
head,17401,0.9972608983516693,0.0021848140726797283,0.07474825717508793,0.9122062474489212,0.8380355834960938,0.0037531814724206924,0.9102410078048706,0.0011820125655503944,0.0015683673986495706,0.0019508111290633678,0.9994775599241257,2476.559512661045,17500,100,0.0021848140726797283
head,17501,0.9975356906652451,0.0020411970862187446,0.07088553532958031,0.9122390300035477,0.8378709554672241,0.003375716139562428,0.9105094224214554,0.0010844789940165356,0.0013345190480322344,0.0016833850531838834,0.9995475447177887,2490.737886557049,17600,100,0.0020411970862187446
head,17601,0.9977288246154785,0.0019967625685967504,0.06801989860832691,0.9123272150754929,0.8388943821191788,0.003160537831718102,0.9107020497322083,0.0005133133745403029,0.0011637752717069815,0.0008832829116727225,0.9996224141120911,2505.0372068140487,17700,100,0.0019967625685967504
head,17701,0.997504934668541,0.002045463393442333,0.0713332649320364,0.9123690575361252,0.8392787873744965,0.003222832917235792,0.910543829202652,0.0005945729863015004,0.0011773695212468737,0.001329257822362706,0.9995996290445328,2519.15764279803,17800,100,0.002045463393442333
head,17801,0.9975400269031525,0.0021047253836877643,0.07076743245124817,0.9124221205711365,0.8392417877912521,0.003402688563801348,0.9105609804391861,0.0006971853690629359,0.0012979631939379033,0.0013488900585798547,0.9995833516120911,2533.3850035560163,17900,100,0.0021047253836877643
head,17901,0.9978167414665222,0.0019875858386512847,0.0667545273900032,0.9124705940485001,0.839093491435051,0.003069262676872313,0.9106037616729736,0.0002757824149739463,0.00108167683625652,0.0004735631082439795,0.9996484559774399,2547.6315159370015,18000,100,0.0019875858386512847
head,18001,0.9974820911884308,0.002132171904668212,0.07157332077622414,0.9125474393367767,0.839119553565979,0.0034828577016014607,0.9104568660259247,0.00038933573159738444,0.0013506857765605673,0.0012455303367460147,0.9995687025785446,2561.8343573480042,18100,100,0.002132171904668212
head,18101,0.9977012276649475,0.002050497950986028,0.06842699460685253,0.9126028567552567,0.8396995067596436,0.0032791457150597126,0.9107982069253922,0.0005669109141308581,0.001228647762836772,0.0011151300932397135,0.9995898616313934,2576.008536956998,18200,100,0.002050497950986028
head,18201,0.9978086948394775,0.001990473649930209,0.06686726212501526,0.9126738160848618,0.8398028314113617,0.0030910022940952332,0.9109404683113098,0.0002251077667096979,0.001100528628558095,0.0006213942906470038,0.9996557801961898,2590.2908556759967,18300,100,0.001990473649930209
head,18301,0.9975742995738983,0.002055495361564681,0.0703885443508625,0.9126831144094467,0.839640736579895,0.003280112136853859,0.91069495677948,0.000689007698383648,0.0012246167736157077,0.0009313730843132362,0.9995988142490387,2604.686721505005,18400,100,0.002055495361564681
