first_update,update,updates_in_bin,training_seconds,state_ce,token_accuracy
26801,26900,100,1451.7637507599939,0.001522439497639425,0.9997078585624695
26901,27000,100,1457.12436350598,0.0021467087932978755,0.9996492666006088
27001,27100,100,1462.489505187994,0.0025044658419210463,0.9995825386047363
27101,27200,100,1467.8582906359916,0.002171604536124505,0.9996305507421493
27201,27300,100,1473.2144320989973,0.0019885355746373534,0.9996476393938064
27301,27400,100,1478.5632108889913,0.0020562648636405357,0.9996679830551147
27401,27500,100,1483.9058740259825,0.0023167759327043314,0.9996012526750565
27501,27600,100,1489.2658227779648,0.0022059561776404733,0.9996036946773529
27601,27700,100,1494.6068276609694,0.0021354450317448937,0.9996329891681671
27701,27800,100,1499.9404898379762,0.002150202253542375,0.9996297335624695
27801,27900,100,1505.271929696999,0.0018837281785090453,0.9996736782789231
27901,28000,100,1510.618527203991,0.0018725317261123564,0.9996801918745041
28001,28100,100,1516.0084857659895,0.001830610878241714,0.9996362495422363
28101,28200,100,1521.3951928239949,0.00201816055639938,0.9996362465620041
28201,28300,100,1526.7622162499938,0.0020972193998022703,0.9996012508869171
28301,28400,100,1532.1372426409907,0.0017017631296039326,0.9996899545192719
28401,28500,100,1537.496949353008,0.001953340880500036,0.9996736806631088
28501,28600,100,1542.8265568380011,0.0020782949456770437,0.9996264797449111
28601,28700,100,1548.183695102991,0.0017482493082934525,0.9997102999687195
28701,28800,100,1553.5476051819824,0.0018252007471164689,0.9996606606245041
28801,28900,100,1558.9026335349736,0.001778892955626361,0.9996875107288361
28901,29000,100,1564.2910368909543,0.002334158026642399,0.9995866024494171
29001,29100,100,1569.6845431249676,0.0016458182107453468,0.9996980917453766
29101,29200,100,1575.041241274972,0.0016695124925172422,0.9997159975767136
29201,29300,100,1580.4178510660204,0.001798327767974115,0.9996818202733994
29301,29400,100,1585.7696355329972,0.0019531684421235694,0.9996395021677017
29401,29500,100,1591.1533854259724,0.0020449543002905557,0.9996224105358124
29501,29600,100,1596.545140350987,0.0017548409986920888,0.9996647292375564
29601,29700,100,1601.946156027956,0.0016400986813823694,0.9997314578294754
29701,29800,100,1607.3477160569491,0.0017665956562268547,0.9996899539232253
29801,29900,100,1612.6704819169572,0.0012956233060685918,0.9997583132982254
29901,30000,100,1617.9993404229463,0.0022264394583180547,0.9996411287784577
30001,30100,100,1623.3398736249364,0.002649732606805628,0.9995866030454635
30101,30200,100,1628.7143790119335,0.002289833406539401,0.9996370577812195
30201,30300,100,1634.0809486339058,0.0021683509777358266,0.9996386849880219
30301,30400,100,1639.5219881969279,0.001700294598704204,0.9997086715698242
30401,30500,100,1644.9365336849332,0.001680673103182926,0.9997062313556672
30501,30600,100,1650.3267303489374,0.0012273799638205674,0.9997859811782837
30601,30700,100,1655.6781502879603,0.0014840255876333685,0.9997143697738647
30701,30800,100,1661.0150784769576,0.0018765161620103753,0.99967449426651
30801,30900,100,1666.3672636129777,0.0008361283836529765,0.9998665428161622
30901,31000,100,1671.725705284989,0.0016843400314246538,0.9997322708368301
31001,31100,100,1677.1410553709975,0.0014438321813941002,0.9997314596176148
31101,31200,100,1682.5584547620092,0.0015728782106452855,0.9997192507982254
31201,31300,100,1687.9203299020046,0.001791275665673311,0.9997054165601731
31301,31400,100,1693.2793016600008,0.0021545046363462463,0.9996215963363647
31401,31500,100,1698.6354908620378,0.0013350166780583094,0.9997884219884873
31501,31600,100,1704.0376722020555,0.0019948752690834228,0.9996736800670624
31601,31700,100,1709.377202103049,0.0016402340331842424,0.9997151827812195
31701,31800,100,1714.7118571640385,0.0020976852757303276,0.9996956515312195
31801,31900,100,1720.0624235410542,0.0016300339242297922,0.9997216951847077
